1,Álava,alava
2,Albacete,albacete
3,Alicante,alicante
4,Almería,almeria
5,Ávila,avila
6,Badajoz,badajoz
7,"Baleares (Illes)",baleares-illes
8,Barcelona,barcelona
9,Burgos,burgos
10,Cáceres,caceres
11,Cádiz,cadiz
12,Castellón,castellon
13,"Ciudad Real",ciudad-real
14,Córdoba,cordoba
15,"A Coruña",a-coruna
16,Cuenca,cuenca
17,Girona,girona
18,Granada,granada
19,Guadalajara,guadalajara
20,Guipúzcoa,guipuzcoa
21,Huelva,huelva
22,Huesca,huesca
23,Jaén,jaen
24,León,leon
25,Lleida,lleida
26,"La Rioja",la-rioja
27,Lugo,lugo
28,Madrid,madrid
29,Málaga,malaga
30,Murcia,murcia
31,Navarra,navarra
32,Ourense,ourense
33,Asturias,asturias
34,Palencia,palencia
35,"Las Palmas",las-palmas
36,Pontevedra,pontevedra
37,Salamanca,salamanca
38,"Santa Cruz de Tenerife",santa-cruz-de-tenerife
39,Cantabria,cantabria
40,Segovia,segovia
41,Sevilla,sevilla
42,Soria,soria
43,Tarragona,tarragona
44,Teruel,teruel
45,Toledo,toledo
46,Valencia,valencia
47,Valladolid,valladolid
48,Vizcaya,vizcaya
49,Zamora,zamora
50,Zaragoza,zaragoza
51,Ceuta,ceuta
52,Melilla,melilla
